PseudoMET_bin,SF_down,SF,SF_up
0,0.594738,0.603105,0.611473
25,0.901246,0.926556,0.951865
50,0.840118,0.853281,0.866444
75,0.758577,0.766181,0.773784
100,0.711850,0.717232,0.722614
125,0.725748,0.730669,0.735590
150,0.775039,0.780393,0.785748
175,0.837226,0.843687,0.850148
200,0.895337,0.903605,0.911872
225,0.947462,0.958270,0.969078
250,0.981681,0.995757,1.009830
275,0.997615,1.015920,1.034230
300,0.999154,1.022480,1.045800
325,0.986633,1.015770,1.044910
350,0.986878,1.023710,1.060550
375,0.965895,1.008910,1.051930
400,0.969967,0.997946,1.025920
